index,term_expression,original_index
1282,"and(subset_eq(index(cardinality(B), union(A, B)), union(difference(A, B), difference(B, A))), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",2788
1283,"or(subset_eq(B, index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), A)))",4314
1284,"subset_eq(union(difference(A, B), difference(B, A)), union(index(cardinality(B), A), index(cardinality(B), difference(A, B))))",5333
1285,"and(not(subset_eq(A, difference(A, A))), subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(B), A)))",1722
1286,"and(not(subset_eq(A, difference(A, B))), subset_eq(intersection(A, B), index(cardinality(A), union(A, B))))",1752
1287,"and(and(not(subset_eq(B, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(intersection(A, B), index(cardinality(B), A)))",585
1288,"subset_eq(difference(A, B), union(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))))",5295
1289,"or(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",5083
1290,"and(subset_eq(difference(B, A), index(cardinality(A), difference(B, A))), subset_eq(index(cardinality(B), A), B))",2138
1291,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), union(A, B))), index(cardinality(difference(B, A)), intersection(A, B)))",6303
1292,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), difference(B, index(cardinality(A), B)))",9185
1293,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), index(cardinality(intersection(A, B)), index(cardinality(B), union(A, B))))",6498
1294,"or(subset_eq(intersection(A, B), index(cardinality(B), union(A, B))), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4495
1295,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), difference(index(cardinality(B), A), index(cardinality(A), union(A, B))))",6156
1296,"and(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)), greater_than(cardinality(difference(A, B)), cardinality(B)))",2745
1297,"and(subset_eq(intersection(A, B), index(cardinality(B), A)), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",1966
1298,"and(subset_eq(index(cardinality(A), union(A, B)), A), greater_than(cardinality(difference(A, B)), cardinality(B)))",2273
1299,"or(subset_eq(difference(B, A), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), B)))",4667
1300,"subset_eq(intersection(A, index(cardinality(A), B)), index(cardinality(difference(A, B)), A))",6879
1301,"and(subset_eq(index(cardinality(B), union(A, B)), A), subset_eq(index(cardinality(A), union(A, B)), difference(A, B)))",2347
1302,"and(and(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))))",566
1303,"subset_eq(difference(B, index(cardinality(A), B)), index(cardinality(difference(A, B)), intersection(A, B)))",7354
1304,"subset_eq(difference(difference(A, B), index(cardinality(B), union(A, B))), index(cardinality(B), union(difference(A, B), difference(B, A))))",7587
1305,"or(subset_eq(index(cardinality(B), union(A, B)), B), subset_eq(index(cardinality(A), B), difference(B, A)))",4808
1306,"subset_eq(difference(difference(A, B), index(cardinality(B), difference(A, B))), difference(index(cardinality(B), union(A, B)), index(cardinality(B), A)))",7605
1307,"or(and(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))), subset_eq(B, index(cardinality(A), B)))",3524
1308,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), union(index(cardinality(B), A), index(cardinality(B), difference(A, B))))",9287
1309,"or(equals(cardinality(A), cardinality(B)), and(not(subset_eq(A, B)), subset_eq(A, difference(A, B))))",858
1310,"subset_eq(difference(difference(B, A), index(cardinality(A), union(A, B))), index(cardinality(difference(B, A)), B))",7657
1311,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), difference(intersection(A, B), index(cardinality(A), B)))",8029
1312,"subset_eq(index(cardinality(A), union(difference(A, B), difference(B, A))), index(cardinality(A), difference(B, A)))",5550
1313,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(A), B)), index(cardinality(difference(A, A)), difference(B, A)))",7719
1314,"or(and(not(subset_eq(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), union(A, B)), difference(B, A)))",3363
1315,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), A))",6289
1316,"and(or(subset_eq(A, B), not(subset_eq(B, A))), or(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))))",620
1317,"or(equals(cardinality(A), cardinality(B)), subset_eq(difference(B, A), index(cardinality(A), difference(B, A))))",3076
1318,"subset_eq(difference(A, index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), intersection(A, B)))",7323
1319,"and(or(subset_eq(A, B), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(A), B)))",722
1320,"and(subset_eq(difference(A, B), index(cardinality(B), union(A, B))), greater_than(cardinality(A), cardinality(difference(B, A))))",2091
1321,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), A)",5516
1322,"and(or(subset_eq(A, difference(A, A)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), union(A, B)), B))",1440
1323,"subset_eq(index(cardinality(difference(B, A)), difference(A, B)), index(cardinality(B), union(difference(A, B), difference(B, A))))",9262
1324,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), B))",6712
1325,"subset_eq(union(index(cardinality(A), B), index(cardinality(A), union(A, B))), difference(union(difference(A, B), difference(B, A)), index(cardinality(B), union(A, B))))",6219
1326,"subset_eq(intersection(index(cardinality(B), A), index(cardinality(A), union(A, B))), B)",5494
1327,"or(subset_eq(intersection(A, B), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), A))",4430
1328,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",9229
1329,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), difference(intersection(A, B), index(cardinality(A), B)))",7941
1330,"subset_eq(difference(A, B), union(index(cardinality(B), A), index(cardinality(B), union(A, B))))",5292
1331,"subset_eq(union(difference(A, B), index(cardinality(B), A)), index(cardinality(difference(A, A)), difference(A, B)))",5939
1332,"and(or(subset_eq(B, A), not(subset_eq(A, B))), not(subset_eq(A, difference(A, A))))",863
1333,"or(subset_eq(index(cardinality(B), union(A, B)), B), subset_eq(index(cardinality(A), union(A, B)), difference(B, A)))",4812
1334,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), index(cardinality(intersection(A, B)), A))",7995
1335,"subset_eq(index(cardinality(difference(A, B)), difference(B, A)), index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))))",9141
1336,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), index(cardinality(difference(A, A)), union(difference(A, B), difference(B, A))))",9228
1337,"subset_eq(intersection(index(cardinality(A), B), index(cardinality(A), union(A, B))), union(A, index(cardinality(A), difference(B, A))))",7083
1338,"subset_eq(union(intersection(A, B), index(cardinality(A), difference(B, A))), index(cardinality(intersection(A, B)), union(A, B)))",5839
1339,"or(subset_eq(union(A, B), index(cardinality(B), A)), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4335
1340,"subset_eq(union(intersection(A, B), index(cardinality(A), difference(B, A))), index(cardinality(difference(A, B)), union(A, B)))",5842
1341,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), index(cardinality(difference(A, B)), union(A, B)))",6182
1342,"or(subset_eq(B, index(cardinality(B), union(A, B))), equals(cardinality(A), cardinality(difference(B, A))))",4319
1343,"and(or(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), subset_eq(difference(B, A), index(cardinality(B), union(A, B))))",1371
1344,"and(not(subset_eq(B, A)), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",328
1345,"and(subset_eq(index(cardinality(B), A), difference(A, B)), subset_eq(index(cardinality(A), B), index(cardinality(A), difference(B, A))))",2476
1346,"and(or(subset_eq(A, B), not(subset_eq(B, A))), subset_eq(index(cardinality(A), B), A))",637
1347,"subset_eq(difference(B, index(cardinality(B), A)), index(cardinality(difference(A, B)), A))",7367
1348,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), difference(A, B))), difference(union(A, B), index(cardinality(A), union(A, B))))",6333
1349,"or(subset_eq(difference(A, B), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), A))",4531
1350,"and(or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A))), not(subset_eq(A, difference(A, B))))",1039
1351,"subset_eq(difference(intersection(A, B), index(cardinality(A), union(A, B))), index(cardinality(difference(A, B)), B))",7511
1352,"or(and(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))))",3596
1353,"subset_eq(index(cardinality(A), union(difference(A, B), difference(B, A))), index(cardinality(difference(A, B)), difference(B, A)))",8335
1354,"subset_eq(index(cardinality(intersection(A, B)), B), index(cardinality(intersection(A, B)), index(cardinality(B), union(A, B))))",8499
1355,"or(subset_eq(index(cardinality(A), union(A, B)), difference(B, A)), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), A)))",4915
1356,"and(subset_eq(index(cardinality(A), B), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), A)))",2642
1357,"or(or(subset_eq(A, B), subset_eq(B, A)), not(subset_eq(A, difference(A, B))))",2924
1358,"or(subset_eq(A, index(cardinality(A), B)), subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(B), A)))",4076
1359,"and(or(subset_eq(A, difference(A, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), difference(B, A)))",1427
1360,"and(not(subset_eq(A, difference(A, A))), subset_eq(index(cardinality(A), union(A, B)), A))",1707
1361,"subset_eq(index(cardinality(difference(A, B)), A), difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))))",8621
1362,"or(subset_eq(index(cardinality(A), difference(B, A)), A), subset_eq(index(cardinality(A), union(A, B)), difference(B, A)))",4786
1363,"subset_eq(union(difference(B, A), index(cardinality(B), difference(A, B))), intersection(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",6068
1364,"or(or(subset_eq(B, difference(A, A)), greater_than(cardinality(B), cardinality(A))), equals(cardinality(B), cardinality(difference(A, B))))",3970
1365,"or(equals(cardinality(intersection(A, B)), cardinality(difference(B, A))), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",5178
1366,"and(not(equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), difference(B, A)), A))",1659
1367,"subset_eq(union(A, index(cardinality(A), difference(B, A))), union(index(cardinality(A), B), index(cardinality(B), A)))",5653
1368,"subset_eq(index(cardinality(difference(A, A)), intersection(A, B)), index(cardinality(B), union(A, B)))",5594
1369,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(B), union(A, B))), index(cardinality(intersection(A, B)), A))",7761
1370,"subset_eq(index(cardinality(difference(A, B)), A), index(cardinality(difference(A, B)), intersection(A, B)))",8634
1371,"and(or(subset_eq(B, A), subset_eq(A, difference(A, B))), or(subset_eq(B, difference(A, A)), greater_than(cardinality(A), cardinality(B))))",934
1372,"and(not(subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), union(A, B)), difference(A, B)))",1771
1373,"and(not(greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",1632
1374,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), difference(A, index(cardinality(A), B)))",6574
1375,"subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(intersection(A, B)), B))",5438
1376,"and(or(subset_eq(A, difference(A, A)), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))))",1409
1377,"and(or(not(subset_eq(A, B)), subset_eq(B, difference(A, A))), subset_eq(difference(A, B), index(cardinality(B), union(A, B))))",1285
1378,"subset_eq(union(index(cardinality(B), A), index(cardinality(B), difference(A, B))), index(cardinality(difference(A, A)), intersection(A, B)))",6556
1379,"or(or(or(subset_eq(A, B), subset_eq(B, A)), equals(cardinality(A), cardinality(B))), subset_eq(B, index(cardinality(A), union(A, B))))",3809
1380,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)), index(cardinality(difference(A, B)), A))",7867
1381,"subset_eq(index(cardinality(difference(B, A)), B), difference(B, index(cardinality(B), A)))",8788
1382,"and(subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(A), union(A, B))), greater_than(cardinality(B), cardinality(difference(A, B))))",2769
1383,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), difference(union(A, B), index(cardinality(A), difference(B, A))))",9192
1384,"or(not(greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), B))",4015
1385,"subset_eq(index(cardinality(intersection(A, B)), union(A, B)), index(cardinality(intersection(A, B)), B))",8855
